,ID,Subsector_x,CO t,NH3 t,NOx t,PM10 t,PM 2.5 t,SO2 t,VOC t,Subsector_y,CO2 t CO2e,CH4 t CO2e,N2O t CO2e,Other GHGs t CO2e
214,336350,Transmission And Power Train Parts,0.231,0.008,0.212,0.006,0.043,0.021,1.2,,,,,
215,3363A0,"Motor Vehicle Steering, Suspension Components (Except Spring), And Brake Systems",0.231,0.005,0.233,0.046,0.081,0.255,1.17,,,,,
216,326220,Rubber And Plastic Belts And Hoses,0.222,0.004,0.171,0.042,0.067,0.108,0.78,Rubber and plastics hose and belting manufacturing,1490.0,0.0,0.0,0.0
217,335120,Light Fixtures,0.218,0.0,0.057,0.003,0.022,0.015,0.186,Lighting fixture manufacturing,597.0,0.0,0.0,0.0
218,335920,Communication And Energy Wire And Cable,0.214,0.001,0.097,0.018,0.04,0.007,0.392,Communication and energy wire and cable manufacturing,1430.0,0.0,0.0,0.0
219,337110,Wood Kitchen Cabinets And Countertops,0.201,0.0,0.093,0.052,0.164,0.008,5.8,Wood kitchen cabinet and countertop manufacturing,304.0,0.0,0.0,0.0
220,812900,"Pet Care, Photofinishing, Parking And Other Sundry Services",0.184,0.0,0.009,0.0,0.0,0.0,0.01,Other personal services,399.0,0.0,0.0,0.0
221,517A00,"Satellite, Telecommunications Resellers, And All Other Telecommunications",0.177,0.0,0.077,0.0,0.003,0.004,0.01,,,,,
222,334418,Printed Circuit And Electronic Assembly,0.176,0.005,0.088,0.0,0.01,0.004,0.358,Printed circuit assembly (electronic assembly) manufacturing,996.0,0.0,0.0,0.0
223,332500,"Metal Hinges, Keys, Lock, And Other Hardware",0.167,0.001,0.071,0.014,0.026,0.001,1.0,Hardware manufacturing,1510.0,0.0,0.0,0.0
224,325620,Toiletries,0.166,0.0,0.064,0.003,0.008,0.017,0.037,Toilet preparation manufacturing,2420.0,0.0,0.0,0.0
225,511120,Magazines And Journals,0.161,0.0,0.009,0.0,0.0,0.0,0.011,Periodical publishers,1280.0,0.0,0.0,0.0
226,611B00,Other Educational Services,0.161,0.0,0.009,0.0,0.0,0.0,0.007,Other educational services,237.0,0.0,0.0,0.0
227,512100,Movies And Film,0.146,0.0,0.012,0.0,0.002,0.0,0.009,Motion picture and video industries,805.0,0.0,0.0,0.0
228,311513,Cheese,0.138,0.005,0.092,0.033,0.06,0.077,0.019,Cheese manufacturing,1750.0,0.0,0.0,0.0
229,519130,Internet Publishing And Broadcasting,0.132,0.0,0.009,0.0,0.002,0.0,0.024,,,,,
